srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,prediction
2829088,13,0.07692307692307693,0.6521813486070732,0.7564935064935066,0.9510204081632654,0.0,1,0,0.6549975617086518,2017-07-30,2017-07-27,2018-02-01,0.40333919156414755,2018-02-06,10.322231227335768
2829866,10,0.038461538461538464,4.3479143055080716e-06,0.7564935064935066,0.9510204081632654,1.0000000000000002,1,0,0.12867863320028958,2017-07-17,2017-01-25,2018-02-01,0.3339191564147628,2018-02-08,13.480584999003888
2894489,10,0.07692307692307693,0.6521813486070732,0.7564935064935066,0.9510204081632654,1.0000000000000002,3,0,0.6899885043626119,2018-01-12,2018-01-11,2018-02-21,0.39718804920913886,2018-02-28,14.597381990778883
2876708,10,0.038461538461538464,4.3479143055080716e-06,0.7564935064935066,0.9510204081632654,1.0000000000000002,2,0,0.2924897118138432,2017-08-07,2017-05-21,2018-02-16,0.3339191564147628,2018-02-26,17.138081145051004
2890283,13,0.8076923076923078,0.42042737099013605,0.7564935064935066,0.9510204081632654,0.0,3,0,0.5800455381607215,2017-11-10,2017-09-22,2018-02-20,0.5035149384885766,2018-02-23,16.493415799445792
2897438,15,0.19230769230769232,0.07252900783494157,0.7564935064935066,0.9510204081632654,0.0,2,0,0.18715318667722286,2017-12-12,2017-12-10,2018-02-22,0.4753954305799648,2018-02-27,17.262682730963178
2849010,15,0.038461538461538464,4.3479143055080716e-06,0.7564935064935066,0.9510204081632654,1.0000000000000002,1,0,0.12871488597333433,2017-09-08,2017-05-07,2018-02-07,0.07293497363796142,2018-03-02,14.56954187294038
2887783,30,0.038461538461538464,4.3479143055080716e-06,0.7564935064935066,0.9510204081632654,1.0000000000000002,1,0,0.12874646096921205,2018-02-02,2017-09-22,2018-02-19,0.07644991212653762,2018-02-26,15.043564780922141
2941799,13,0.7692307692307693,0.0,0.7564935064935066,0.9510204081632654,0.0,2,0,0.1450122616233992,2017-12-31,2017-06-26,2018-03-05,0.502636203866432,2018-03-14,11.999515261399415
2973976,13,0.8076923076923078,0.42042737099013605,0.7564935064935066,0.9510204081632654,0.0,1,0,0.4677905805940076,2017-05-22,2018-03-26,2018-03-13,0.5035149384885766,2018-03-17,11.123613374934578
